company | abandon | system | institute | give up | facility | company | abandon | system | company | abandon | plan
teenager | attend | lessons | student | go to | school | teenager | attend | lessons | teenager | attend | weddings
he | attend | conference | she | appear at | meeting | he | attend | conference | he | attend | game
company | attract | investment | organizations | achieve | cooperation | company | attract | investment | company | attract | investigation
politician | attract | voters | campaigner | win | followers | politician | attract | voters | politician | attract | police
officier | approve | access | government | authorize | entering | officier | approve | access | officier | approve | plan
government | avoid | parade | mayer | avert | strike | government | avoid | parade | government | avoid | interview
party | avoid | expense | government | cut | budgets | party | avoid | expense | party | avoid | criticism
he | tackle | problems | she | solve | puzzle | he | tackle | problems | he | tackle | player
he | tackle | classics | she | study | history | he | tackle | classics | he | tackle | market
he | tailor | law | she | adjust | rule | he | tailor | law | he | tailor | reports
he | take | nap | she | go to | sleep | he | take | nap | he | take | money
we | take | care | they | watch | themselves | we | take | care | we | take | umbrella
we | take | tour | they | go on | a trip | we | take | tour | we | take | umbrella
i | take | risk | he | rush into | danger | i | take | risk | i | take | pen
they | take | course | we | have | lessons | they | take | course | they | take | jewelry
people | take | vacations | man | have | holidays | people | take | vacations | people | take | bus
she | take | bus | he | drive | car | she | take | bus | she | take | food
man | take | exercise | teenager | do | sports | man | take | exercise | man | take | wallet
he | take | pictures | she | capture | photos | he | take | pictures | he | take | books
he | take | pills | i | have | medicine | he | take | pills | he | take | phone
he | take | advantage | we | grasp | opportunity | he | take | advantage | he | take | plane
we | take | action | he | make | move | we | take | action | we | take | care
he | take | advice | she | accept | suggestions | he | take | advice | he | take | money
student | take | exam | trainee | go through | test | student | take | exam | student | take | backpack
he | tell | jokes | she | break | jest | he | tell | jokes | he | tell | parent
he | tell | stories | she | narrate | events | he | tell | stories | he | tell | sister
they | test | system | we | check | devices | they | test | system | they | test | will
they | throw | football | we | play | basketball | they | throw | football | they | throw | bomb
they | thwart | investigation | he | obstruct | research | they | thwart | investigation | they | thwart | competition
player | tie | game | athlete | reach | draw | player | tie | game | player | tie | shoelaces
we | tighten | belts | he | tie | shoelaces | we | tighten | belts | we | tighten | rules
i | toss | coin | he | roll | dice | i | toss | coin | i | toss | head
man | train | trainee | teacher | teach | students | man | train | trainee | man | train | dogs
businessman | transfer | goods | postman | deliver | mails | businessman | transfer | goods | businessman | transfer | information
host | treat | guests | man | entertain | friends | host | treat | guests | host | treat | disease
guest | try | food | customer | taste | dishes | guest | try | food | guest | try | ideas
he | understand | importance | she | realised | necessity | he | understand | importance | he | understand | lessons
company | upgrade | system | man | update | software | company | upgrade | system | company | upgrade | equipment
i | use | laptop | he | operate | computer | i | use | laptop | i | use | bicycle
we | use | currency | they | spend | money | we | use | currency | we | use | weapons
he | use | drugs | she | take | medicine | he | use | drugs | he | use | money
i | use | camera | she | take | photos | i | use | camera | i | use | weapon
man | verify | identities | guard | authenticate | visitor | man | verify | identities | man | identify | quality
president | veto | bill | senate | deny | legislation | president | veto | bill | president | veto | war
we | view | home | they | visit | family | we | view | home | we | view | story
he | visit | country | she | travel | town | he | visit | country | he | visit | parents
he | visit | website | she | search | internet | he | visit | website | he | visit | parents
they | halt | campaign | we | stop | war | they | halt | campaign | they | halt | decline
we | halt | program | engineer | shutdown | system | we | halt | program | we | halt | effort
he | halt | practice | she | give up | effort | he | halt | practice | he | halt | bombing
he | hand over | weapon | soldier | give | rifle | he | hand over | weapon | he | hand over | purse
they | handle | issues | we | deal with | problems | they | handle | issues | they | handle | planning
we | hang | criminal | they | execute | murderer | we | hang | criminal | we | hang | picture
i | hate | cake | he | dislike | pizza | i | hate | cake | i | hate | power
i | hate | cake | i | refuse | sweets | i | hate | cake | i | hate | books
he | hear | opinions | she | receive | suggestions | he | hear | opinions | he | hear | music
they | hear | instruction | he | obey | order | they | hear | instruction | they | hear | appeals
you | hear | rumors | he | understand | canard | you | hear | rumors | you | hear | music
court | hear | appeal | courthouse | receive | case | court | hear | appeal | court | hear | scream
they | heat | gasoline | we | warm | petrol | they | heat | gasoline | they | heat | vegetables
he | help | homeless | she | rescue | orphan | he | help | homeless | he | help | candidates
i | help | army | he | assist | military | i | help | army | i | help | family
he | help | troops | we | assist | soldier | he | help | troops | he | help | doctor
they | hide | evidence | i | conceal | proof | they | hide | evidence | he | hide | toy
he | hide | fact | i | tell | lie | he | hide | fact | he | hide | book
i | hide | position | he | conceal | himself | i | hide | position | i | hide | toy
officials | hide | problem | worker | cover up | issues | officials | hide | problem | officials | hide | pleasure
i | hit | basketball | he | kick | football | i | hit | basketball | i | hit | boy
president | hold | conference | businessman | attend | meeting | president | hold | conference | president | hold | flower
soldier | hold | guns | guard | take out | weapon | soldier | hold | guns | soldier | hold | child
members | hold | concert | artist | put on | show | members | hold | concert | members | hold | breath
we | honor | president | he | respect | leader | we | honor | president | we | honor | knowledge
i | walk | home | he | go to | school | i | walk | home | i | walk | dog
i | wash | car | driver | clean | bus | i | wash | car | i | wash | face
they | waste | chance | he | give up | opportunity | they | waste | chance | they | waste | water
i | watch | myself | he | take | care | i | watch | myself | i | watch | tv
he | watch | family | she | visit | parents | he | watch | family | he | watch | game
he | wave | banners | i | raise | flag | he | wave | banners | he | wave | knife
writer | weave | fiction | author | write | novel | writer | weave | fiction | writer | weave | sweater
he | win | honor | i | gain | respect | he | win | honor | he | win | election
man | withdraw | complaint | they | stop | arguing | man | withdraw | complaint | man | withdraw | gun
student | write | article | writer | publish | book | student | write | article | student | write | name
he | forget | past | we | forget | before | he | forget | past | he | forget | reality
they | override | rule | we | rewrite | law | they | override | rule | they | override | vetoes
he | postpone | payment | we | defer | cost | he | postpone | payment | they | postpone | announcement
he | overcome | stutter | i | correct | stammer | he | overcome | stutter | he | overcome | devil
he | use | means | she | apply | method | he | use | means | he | use | leverage
we | balance | budget | they | manage | costs | we | balance | budget | we | balance | pressures
they | beat | lakers | celtics | defeat | detroit | they | beat | lakers | they | beat | clock
he | beat | record | they | break | records | he | beat | record | he | beat | drum
he | becoming | president | she | being | queen | he | becoming | president | he | becoming | friend
they | begin | negotiations | people | start | talks | they | begin | negotiations | they | begin | career
he | begin | fast | it | start | quickly | he | begin | fast | he | begin | talk
it | block | door | he | barricade | gate | it | block | door | it | block | ad
we | break | law | they | violate | rule | we | break | law | we | break | record
we | break | play | she | stop | performance | we | break | play | we | break | leg
he | bring | war | it | cause | battle | he | bring | war | he | bring | kids
she | bring | news | it | deliver | message | she | bring | news | she | bring | children
it | bring | prices | that | raise | costs | it | bring | prices | it | bring | problems
they | build | house | people | construct | buildings | they | build | house | they | build | future
he | build | trust | we | develop | confidence | he | build | trust | he | build | team
he | bury | face | she | cover | leg | he | bury | face | he | bury | bodies
you | buy | computer | she | purchase | television | you | buy | computer | you | buy | senators
he | call | mommy | she | phone | mother | he | call | mommy | he | call | names
he | cancel | trip | she | cancel | events | he | cancel | trip | he | cancel | school
we | capture | attention | it | catch | imagination | we | capture | attention | we | capture | moment
it | capture | information | we | collect | news | it | capture | information | he | capture | scenes
nobody | care about | poor | he | worry about | wife | nobody | care about | poor | nobody | care about | morality
he | carry | bags | police | carry | guns | he | carry | bags | he | carry | reforms
he | challenge | governor | we | doubt | professor | he | challenge | governor | he | challenge | puzzles
i | change | mind | we | alter | plans | i | change | mind | i | change | jobs
he | change | approach | i | adjust | methods | he | change | approach | he | change | everything
bank | charge | commission | landlord | collect | rent | bank | charge | commission | bank | charge | criminal
he | charge | thief | she | accuse | rapist | he | charge | thief | he | charge | money
i | charge | fee | he | charge | price | i | charge | fee | i | charge | battery
he | climb | everest | they | ascend | path | he | climb | everest | he | climb | third
she | close | door | he | shut | window | she | close | door | she | close | restaurants
he | come to | moscow | she | arrive at | miami | he | come to | moscow | he | come to | campaign
i | come to | hunt | they | go to | swim | i | come to | hunt | i | come to | washington
he | commit | suicide | she | kill | herself | he | commit | suicide | he | commit | himself
i | conceal | anger | he | hide | happiness | i | conceal | anger | i | conceal | meat
he | conduct | research | we | perform | study | he | conduct | research | he | conduct | orchestra
he | conduct | himself | she | behave | herself | he | conduct | himself | he | conduct | polls
officials | confirm | plan | authority | ascertain | decision | officials | confirm | plan | officials | confirm | deaths
they | construct | houses | we | build | pyramids | they | construct | houses | they | construct | team
he | contact | police | she | call | mayor | he | contact | police | he | contact | shop
we | continue | members | they | remain | officials | we | continue | members | we | continue | studies
he | continue | efforts | they | keep | struggling | he | continue | efforts | he | continue | programs
we | continue | progress | they | keep | going | we | continue | progress | we | continue | tradition
government | control | weapon | they | restrict | guns | government | control | weapon | government | control | costs
they | control | fate | you | seize | destiny | they | control | fate | they | control | crowd
they | convince | consumers | he | persuade | customers | they | convince | consumers | they | convince | majority
it | cost | time | this | need | money | it | cost | time | it | cost | lives
it | cover | facts | he | conceal | scandal | it | cover | facts | it | cover | aspects
we | create | products | they | invent | bulbs | we | create | products | we | create | crisis
he | create | fund | she | found | company | he | create | fund | he | create | style
he | cut | payments | they | reduce | prices | he | cut | payments | he | cut | fingers
they | cut | expenses | we | lower | costs | they | cut | expenses | they | cut | trees
he | cut | cake | she | slice | bread | he | cut | cake | he | cut | prices
it | damage | relationship | it | destroy | friendship | it | damage | relationship | it | damage | basketball
it | dampen | expectations | he | ruin | excitement | it | dampen | expectations | it | dampen | pants
we | deal with | problem | they | cope with | difficulty | we | deal with | problem | we | deal with | deficit
we | deal with | economists | they | associate with | executive | we | deal with | economists | we | deal with | injury
he | deal with | issues | he | work on | problems | he | deal with | issues | he | deal with | debt
we | debate | things | they | discuss | issues | we | debate | things | we | debate | much
he | defeat | allies | they | win | enemy | he | defeat | allies | he | defeat | bill
we | defeat | terrorists | they | win | rebels | we | defeat | terrorists | we | defeat | rules
we | defend | country | they | protect | territory | we | defend | country | we | defend | ourselves
he | defend | freedom | she | uphold | liberty | he | defend | freedom | he | defend | himself
he | defuse | dispute | she | eliminate | disagreements | he | defuse | dispute | he | defuse | bomb
they | defy | laws | he | disobey | rules | they | defy | laws | they | defy | vote
he | delay | action | she | postpone | activity | he | delay | action | he | delay | purchase
he | deliver | speech | she | give | talk | he | deliver | speech | he | deliver | package
he | deliver | ball | i | pass | basketball | he | deliver | ball | he | deliver | series
they | deliver | advice | we | provide | suggestions | they | deliver | advice | they | deliver | food
he | deliver | cocaine | she | hand over | cigar | he | deliver | cocaine | he | deliver | stock
we | demand | respect | i | need | admiration | we | demand | respect | we | demand | certificate
she | demonstrate | skills | i | show | abilities | she | demonstrate | skills | she | demonstrate | research
he | demonstrate | condition | she | illustrate | situation | he | demonstrate | condition | he | demonstrate | tricks
he | denounce | penalty | we | condemn | punishment | he | denounce | penalty | he | denounce | idea
he | deny | payment | she | reject | paying | he | deny | payment | he | deny | claims
they | deny | responsibility | we | contradict | liability | they | deny | responsibility | they | deny | inquiry
it | depict | feelings | that | describe | emotions | it | depict | feelings | it | depict | scene
they | deploy | package | he | install | software | they | deploy | package | they | deploy | missiles
he | deposit | money | she | keep | savings | he | deposit | money | he | deposit | soil
he | describe | experiences | we | depict | stories | he | describe | experiences | he | describe | scenes
he | describe | scenery | she | depict | landscape | he | describe | scenery | he | describe | life
she | deserve | chance | i | be worth | opportunity | she | deserve | chance | she | deserve | punishment
i | design | plans | she | make | schedules | i | design | plans | i | design | clock
he | design | system | they | program | software | he | design | system | he | design | game
it | destroy | economy | that | smash | market | it | destroy | economy | it | destroy | hope
he | destroy | evidence | she | ruin | proof | he | destroy | evidence | he | destroy | planet
they | destroy | cars | it | wreck | ships | they | destroy | cars | they | destroy | marriage
it | detect | problems | they | find | defects | it | detect | problems | it | detect | tumor
they | determine | cause | she | deduce | reason | they | determine | cause | they | determine | trajectory
they | determine | result | it | resolve | effect | they | determine | result | they | determine | future
it | determine | standard | they | define | criterion | it | determine | standard | it | determine | fate
it | determine | champion | that | decide | winner | it | determine | champion | it | determine | results
they | develop | economies | it | promote | finance | they | develop | economies | they | develop | habits
they | develop | plan | she | make up | schedules | they | develop | plan | they | develop | management
he | devote | speech | he | give | talk | he | devote | speech | he | devote | himself
he | devote to | operation | she | dedicate to | action | he | devote to | operation | he | devote to | art
it | discover | people | they | find | lives | it | discover | people | it | discover | city
she | discuss | contents | he | talk about | details | she | discuss | contents | she | discuss | crisis
they | discuss | plans | we | deliberate | ideas | they | discuss | plans | they | discuss | incidents
we | discuss | question | they | talk over | topic | we | discuss | question | we | discuss | events
he | dispel | label | she | remove | tag | he | dispel | label | he | dispel | doubts
he | dispel | label | she | remove | tag | he | dispel | label | he | dispel | doubts
bush | dispel | suggestion | he | reject | advice | bush | dispel | suggestion | bush | dispel | belief
he | display | talents | she | show | skills | he | display | talents | he | display | art
it | dispose of | savings | he | deal with | money | it | dispose of | savings | it | dispose of | portion
they | disrupt | event | he | interrupt | activity | they | disrupt | event | they | disrupt | voting
he | dissect | personalities | she | analyze | industry | he | dissect | personalities | he | dissect | body
they | distribute | leaflets | he | issue | flyers | they | distribute | leaflets | they | distribute | ballot
we | distribute | product | they | release | application | we | distribute | product | we | distribute | albums
they | divide | food | he | split | cake | they | divide | food | they | divide | america
she | divulge | intentions | he | disclose | purpose | she | divulge | intentions | she | divulge | identity
it | dominate | market | they | control | trade | it | dominate | market | it | dominate | lives
he | donate | money | they | contribute | funds | he | donate | money | he | donate | blood
he | doubt | abilities | she | distrust | capability | he | doubt | abilities | he | doubt | decision
he | draft | bill | she | draft | legislation | he | draft | bill | he | draft | order
we | draw | attention | they | attract | notice | we | draw | attention | we | draw | pictures
he | draw | line | she | paint | pictures | he | draw | line | he | draw | partners
we | draw | wagons | they | drag | carriage | we | draw | wagons | we | draw | map
i | drink | beers | he | drink | whisky | i | drink | beers | i | drink | quart
he | drink | quart | i | swallow | gallons | he | drink | quart | he | drink | water
they | drive | cars | we | sail | ships | they | drive | cars | they | drive | bomb
you | drive | truck | we | steer | ships | you | drive | truck | you | drive | miles
we | drive | downtown | they | go | home | we | drive | downtown | we | drive | innovation
it | drive | forces | they | expel | horses | it | drive | forces | it | drive | mob
he | drop | proposal | she | decline | suggestions | he | drop | proposal | he | drop | demands
company | drop | program | it | stop | plan | company | drop | program | company | drop | proposal
he | drop | gift | she | give up | presents | he | drop | gift | he | drop | coin
he | drop | action | they | abandon | plans | he | drop | action | he | drop | weapon
he | earn | fee | she | make | money | he | earn | fee | he | earn | degree
i | earn | certificate | he | gain | doctorate | i | earn | certificate | i | earn | trust
she | earn | respect | they | deserve | admiration | she | earn | respect | she | earn | profit
we | ease | tensions | they | release | pressure | we | ease | tensions | we | ease | tie-ups
he | ease | tie-ups | she | loosen | clothes | he | ease | tie-ups | he | ease | burden
i | eat | food | she | have | meal | i | eat | food | i | eat | nothing
he | educate | child | she | foster | kid | he | educate | child | he | educate | investors
we | educate | shareholders | they | teach | stockholders | we | educate | shareholders | we | educate | ourselves
they | elect | governor | we | choose | president | they | elect | governor | they | elect | legislature
we | eliminate | inefficiencies | they | improve | efficiency | we | eliminate | inefficiencies | we | eliminate | abortion
they | eliminate | king | we | eradicate | monarch | they | eliminate | king | they | eliminate | jobs
they | eliminate | risk | he | remove | hazard | they | eliminate | risk | they | eliminate | jobs
he | eliminate | redundancy | we | get rid of | redundancy | he | eliminate | redundancy | he | eliminate | distractions
he | eliminate | requirement | they | invalidate | rules | he | eliminate | requirement | he | eliminate | resemblance
we | eliminate | barriers | they | remove | obstacles | we | eliminate | barriers | we | eliminate | class
he | elude | detective | she | evade from | investigation | he | elude | detective | he | elude | fate
he | elude | pursues | they | hide from | fans | he | elude | pursues | he | elude | enemy
she | embody | music | he | concretize | fantasies | she | embody | music | she | embody | pleasures
it | embody | nature | that | exemplify | science | it | embody | nature | it | embody | moods
i | embrace | explanation | he | accept | response | i | embrace | explanation | i | embrace | her
she | embrace | freedom | he | welcome | liberty | she | embrace | freedom | she | embrace | method
he | embrace | business | we | accept | trade | he | embrace | business | he | embrace | hearth
he | emphasize | agenda | we | underline | schedules | he | emphasize | agenda | he | emphasize | details
i | emphasize | differences | she | punctuate | discrepancy | i | emphasize | differences | i | emphasize | health
they | emphasize | priorities | we | underline | precedence | they | emphasize | priorities | they | emphasize | notions
he | emphasize | precision | she | pay attention to | accuracy | he | emphasize | precision | he | emphasize | importance
he | employ | employees | they | hire | staffs | he | employ | employees | he | employ | tools
he | employ | method | he | use | strategy | he | employ | method | he | employ | workers
i | employ | workers | we | recruit | technicians | i | employ | workers | i | employ | approaches
they | emulate | heroes | we | imitate | father | they | emulate | heroes | they | emulate | achievement
they | enact | legislations | we | pass | laws | they | enact | legislations | they | enact | performance
we | enact | plan | they | make up | schemes | we | enact | plan | we | enact | ideas
she | encourage | women | he | support | men | she | encourage | women | she | encourage | investment
he | encourage | investment | we | promote | contribution | he | encourage | investment | he | encourage | freedom
he | encourage | innovation | they | advocate | creativity | he | encourage | innovation | he | encourage | reforms
he | encourage | reforms | she | advocate | changes | he | encourage | reforms | he | encourage | use
he | end | conflict | she | stop | dispute | he | end | conflict | he | end | policy
he | end | battle | they | stop | war | he | end | battle | he | end | talk
he | end | life | she | commit | suicide | he | end | life | he | end | relationship
he | endorse | opinion | she | support | claim | he | endorse | opinion | he | endorse | figures
they | endorse | mayor | we | support | governor | they | endorse | mayor | they | endorse | policy
officials | enforce | rules | police | execute | laws | officials | enforce | rules | officials | enforce | cooperation
i | enjoy | research | he | love | study | i | enjoy | research | i | enjoy | walk
i | enjoy | wine | he | like | alcohol | i | enjoy | wine | i | enjoy | myself
they | enjoy | experience | we | like | process | they | enjoy | experience | they | enjoy | holidays
he | enjoy | moment | she | relish | time | he | enjoy | moment | he | enjoy | sun
he | enlist | support | they | seek | help | he | enlist | support | he | enlist | community
he | enroll in | school | she | register at | school | he | enroll in | school | he | enroll in | fall
we | ensure | victory | they | make sure | success | we | ensure | victory | we | ensure | preparedness
he | enter | password | i | input | username | he | enter | password | he | enter | building
it | enter | room | he | come in | house | it | enter | room | it | enter | orbit
he | enter | army | i | join | party | he | enter | army | he | enter | park
we | enter | village | they | come in | hamlet | we | enter | village | we | enter | age
i | enter | college | she | enroll in | institution | i | enter | college | i | enter | home
they | enter | contest | we | participate in | competition | they | enter | contest | they | enter | town
she | enter | chapel | they | come in | church | she | enter | chapel | she | enter | politics
we | eradicate | injustice | they | get rid of | unfairness | we | eradicate | injustice | we | eradicate | poverty
we | eradicate | barriers | he | clear | obstacles | we | eradicate | barriers | we | eradicate | disease
he | escape | scandal | she | evade | disgrace | he | escape | scandal | he | escape | police
she | escape | problems | he | evade | trouble | she | escape | problems | she | escape | war
he | escape | war | she | flee from | battle | he | escape | war | he | escape | rule
we | establish | contact | they | create | relationship | we | establish | contact | we | establish | rules
they | establish | standard | we | make | rules | they | establish | standard | they | establish | academies
he | establish | system | we | create | organization | he | establish | system | he | establish | dynasty
we | establish | protocol | we | conclude | rule | we | establish | protocol | we | establish | state
we | establish | confidence | they | build up | faith | we | establish | confidence | we | establish | mechanism
he | estimate | cost | she | calculate | toll | he | estimate | cost | he | estimate | value
they | evacuate | zone | they | clear | area | they | evacuate | zone | they | evacuate | people
he | evade | photographers | she | dodge | cameraman | he | evade | photographers | he | evade | police
they | evaluate | performance | they | appraise | show | they | evaluate | performance | it | evaluate | bids
it | evaluate | ability | they | assess | capability | it | evaluate | ability | it | evaluate | impact
it | evoke | sense | this | invoke | spirit | it | evoke | sense | it | evoke | response
they | evoke | fear | that | invoke | horror | they | evoke | fear | they | evoke | memories
we | examine | consciences | they | inspect | inner voice | we | examine | consciences | we | examine | records
he | examine | case | she | inspect | lawsuit | he | examine | case | he | examine | record
he | examine | situation | they | investigate | circumstance | he | examine | situation | he | examine | system
it | exhaust | capital | that | use up | money | it | exhaust | capital | it | exhaust | inventories
it | expand | network | this | extend | net | it | expand | network | it | expand | capacity
he | expand | space | they | enlarge | capacity | he | expand | space | he | expand | training
he | expand | influence | she | broaden | impact | he | expand | influence | he | expand | tournaments
he | expand | firm | she | enlarge | company | he | expand | firm | he | expand | selection
he | expect | winter | we | look forward to | spring | he | expect | winter | he | expect | sentence
we | expect | performance | they | look forward to | drama | we | expect | performance | we | expect | pass
i | experience | problems | she | undergo | trouble | i | experience | problems | i | experience | symptoms
we | explain | approaches | they | illustrate | methods | we | explain | approaches | we | explain | impact
she | explain | question | we | clarify | doubt | she | explain | question | she | explain | contradictions
they | explain | idea | we | state | claim | they | explain | idea | they | explain | math
he | explain | things | she | analyze | problems | he | explain | things | he | explain | love
we | exploit | tool | he | utilize | equipment | we | exploit | tool | we | exploit | technology
i | explore | neighborhoods | we | search out | vicinity | i | explore | neighborhoods | i | explore | astrophysics
we | explore | room | they | investigate | chamber | we | explore | room | we | explore | arithmetic
he | express | love | she | show | passion | he | express | love | he | express | himself
i | express | feelings | i | convey | thoughts | i | express | feelings | i | express | thanks
he | express | concern | she | convey | worry | he | express | concern | he | express | love
i | express | outrage | we | show | anger | i | express | outrage | i | express | loyalty
he | extend | deadline | they | postpone | date | he | extend | deadline | he | extend | law
they | extend | life | we | prolong | time | they | extend | life | they | extend | idea
they | extend | law | we | augment | term | they | extend | law | they | extend | break
he | extend | contract | she | supplement | agreement | he | extend | contract | he | extend | precedent
he | face | officer | she | confront | officeholder | he | face | officer | he | face | charges
she | face | fact | we | accept | reality | she | face | fact | she | face | guy
we | face | punishment | they | receive | penalty | we | face | punishment | we | face | situation
they | favor | policy | we | prefer | rule | they | favor | policy | they | favor | foods
she | favor | parent | he | resemble | relative | she | favor | parent | she | favor | approach
he | favor | plan | they | advocate | legislation | he | favor | plan | he | favor | republicans
she | fear | death | he | dread | dying | she | fear | death | she | fear | opponent
she | feed | baby | we | raise | child | she | feed | baby | she | feed | fish
i | feel | relief | we | felt | ease | i | feel | relief | i | feel | pressure
he | fight | enemy | he | resist | opponent | he | fight | enemy | he | fight | battle
he | fight | cancer | they | struggle against | disease | he | fight | cancer | he | fight | terrorism
we | figure | way | they | work out | solution | we | figure | way | we | figure | reason
i | figure | plot | he | scheme | plan | i | figure | plot | i | figure | questions
they | file | lawsuits | we | pigeonhole | suit | they | file | lawsuits | they | file | reports
she | file | appeal | they | archive | charge | she | file | appeal | she | file | cases
he | file | papers | she | archive | articles | he | file | papers | he | file | report
he | file | letter | i | archive | message | he | file | letter | he | file | complaint
it | fill | buildings | this | permeate | houses | it | fill | buildings | it | fill | seats
it | fill | tank | this | pervade | pot | it | fill | tank | it | fill | truck
you | fill | form | he | complete | table | you | fill | form | you | fill | bottle
we | fill | void | they | overfill | space | we | fill | void | we | fill | gap
he | finance | university | they | sponsor | college | he | finance | university | he | finance | projects
he | finance | campaigns | we | support | activity | he | finance | campaigns | he | finance | plan
they | finance | project | we | subsidize | program | they | finance | project | they | finance | construction
she | find | way | he | discover | method | she | find | way | she | find | recruits
you | find | evidence | we | discover | proof | you | find | evidence | you | find | way
we | find | method | she | figure out | way | we | find | method | we | find | language
he | find | help | she | get | assistance | he | find | help | he | find | place
they | find | balance | they | discover | counterpoise | they | find | balance | they | find | weapons
they | find | information | we | detect | news | they | find | information | they | find | problem
i | find | job | he | get | occupation | i | find | job | i | find | mayor
they | find | someone | we | discover | somebody | they | find | someone | they | find | way
he | finish | draft | she | complete | sketch | he | finish | draft | he | finish | deal
he | finish | work | i | accomplish | job | he | finish | work | he | finish | game
he | finish | deal | we | complete | trade | he | finish | deal | he | finish | work
she | finish | job | i | get done | work | she | finish | job | she | finish | call
he | fix | problem | we | solve | trouble | he | fix | problem | he | fix | thing
he | fix | vehicle | we | repair | car | he | fix | vehicle | he | fix | roof
he | flee | cab | she | run off | car | he | flee | cab | he | flee | melee
he | flee | city | i | leave | town | he | flee | city | he | flee | hotel
he | fly | jets | i | drive | plane | he | fly | jets | he | fly | kite
we | focus on | task | they | concentrate on | mission | we | focus on | task | we | focus on | team
we | focus on | issues | he | pay attention to | problems | we | focus on | issues | we | focus on | people
they | follow | lead | we | abide by | leader | they | follow | lead | they | follow | progress
they | follow | guidelines | we | obey | rules | they | follow | guidelines | they | follow | path
they | follow | cornerstone | he | observe | principles | they | follow | cornerstone | they | follow | example
they | follow | pledge | he | comply with | promise | they | follow | pledge | they | follow | requirements
we | force | people | i | compel | men | we | force | people | we | force | action
we | forget | this | he | neglect | that | we | forget | this | we | forget | rule
we | forgive | deceptions | they | excuse | cheats | we | forgive | deceptions | we | forgive | criminals
he | forgo | career | she | give up | enterprise | he | forgo | career | he | forgo | vote
he | forgo | venture | she | give up | enterprise | he | forgo | venture | he | forgo | trip
he | forgo | party | we | abandon | celebration | he | forgo | party | he | forgo | dance
he | forgo | competition | they | give up | contest | he | forgo | competition | he | forgo | speech
he | form | company | he | establish | enterprise | he | form | company | he | form | tents
we | form | organization | they | constitute | group | we | form | organization | we | form | bond
he | form | committee | they | build | council | he | form | committee | he | form | bond
he | foster | brand | they | build | trademark | he | foster | brand | he | foster | child
we | foster | curiosity | we | develop | interest | we | foster | curiosity | we | foster | involvement
he | found | group | she | establish | organization | he | found | group | he | found | book
he | found | institute | they | construct | company | he | found | institute | he | found | person
i | fulfill | dream | she | realize | target | i | fulfill | dream | i | fulfill | pledge
